URL,dev_name,dev_url,address,Number of Elements,Project Area,Floor Size,Project Size,avg_price,Dates,Configuration,Latitude,Longitude,Floors,Amenities
https://housing.com/in/buy/projects/page/252587-brigade-citadel-by-brigade-enterprises-ltd-in-moti-nagar,Brigade Enterprises Ltd,/buy-projects-by-brigade-enterprises-ltd-bid-260998-A62nbscb3fi82asojjraltxogy,"Moti Nagar, Hyderabad",12,11 Acres,1174.00 sq.ft. - 1798.00 sq.ft.,,9.77 K/sq.ft,"Dec, 2020, Sep, 2025","2, 3 BHK Apartments",17.45056,78.419334,,"['Amphitheater', 'Cricket Pitch', 'Skating Rink', 'Fountains', 'Fire Sprinklers', 'Table Tennis', 'Medical Store/Pharmacy', '24X7 Water Supply', 'Car Parking', 'Multipurpose Room', 'Senior Citizen Siteout', 'Indoor Games', 'Business Center', 'Party Lawn', 'Intercom', ""Children's Play Area"", 'Salon', 'Steam Room', 'Solid Waste Management And Disposal', 'Reserved Parking', 'Spa/Sauna/Steam', 'Banquet Hall', 'Rain Water Harvesting', '24x7 Security', 'Cafeteria', 'Waiting Lounge', 'Grocery Shop', 'Swimming Pool', 'Vastu Compliant', 'Landscaping & Tree Planting', 'Water Storage', 'Gymnasium', 'Squash Court', 'Jogging Track', 'Yoga/Meditation Area', 'Gated Community', 'Club House', 'Entrance Lobby', 'Security Cabin', 'Lift(s)', 'Badminton Court', 'Aerobics Room', 'Multipurpose Hall', 'Basketball Court', 'Paved Compound', 'Conference Room', 'ATM', 'Power Backup']"
https://housing.com/in/buy/projects/page/39927-balaji-elegancia-by-balaji-constructions-in-kompally,Balaji Constructions,/buy-projects-by-balaji-constructions-bid-205172-Ahyxxayuvbdbcrsolu01s9tlkd,"Survey No. 149/A, 150/B, Behind Cine Planet, Kompally, North Hyderabad, Hyderabad",10,,2811.00 sq.ft. - 5500.00 sq.ft.,47 units,8.50 K/sq.ft,"Dec, 2022","3, 4 BHK Villas",17.538492,78.480965,,"['Changing Room', 'Fire Sprinklers', 'Table Tennis', 'Mini Theatre', '24X7 Water Supply', 'Car Parking', 'Multipurpose Room', 'Senior Citizen Siteout', 'Indoor Games', 'Pergola', 'Piped Gas Connection', 'Party Lawn', 'Sewage Treatment Plant', 'Intercom', ""Children's Play Area"", 'Solid Waste Management And Disposal', 'Visitor Parking', 'Reserved Parking', 'Banquet Hall', 'Maintenance Staff', 'Storm Water Drains', 'Library', 'Rain Water Harvesting', 'Jacuzzi', '24x7 Security', 'Cafeteria', 'Internet / Wi-Fi', 'Solar Lighting', 'Swimming Pool', 'Vastu Compliant', 'Landscaping & Tree Planting', 'Water Storage', 'Billiards/Snooker Table', 'Gymnasium', 'Fire Fighting System', 'School', 'Golf Course', 'Squash Court', 'Yoga/Meditation Area', 'Gated Community', 'Club House', 'Entrance Lobby', 'Service Lift', 'Security Cabin', 'Barbecue Area', 'Lift(s)', 'Aerobics Room', 'Badminton Court', 'RO Water System', 'Basketball Court', 'Paved Compound', 'Conference Room', 'Infinity Pool', 'CCTV', 'Power Backup']"
https://housing.com/in/buy/projects/page/236039-bhuvanteza-aura-by-bhuvanteza-infrastructures-llp-in-kollur,Bhuvanteza Infrastructures LLP,/buy-projects-by-bhuvanteza-infrastructures-llp-bid-7860239-Ae42kcygmn9q0t9projolw2k6r,"Survey Nos 212, 213, 214, Near Velimala Bus Stop, Velimala Village, Kollur, West Hyderabad, Hyderabad",10,,1040.00 sq.ft. - 1700.00 sq.ft.,156 units,3.65 K/sq.ft,"Nov, 2022","2, 3 BHK Apartments",17.444426,78.249245,,"[""Children's Play Area"", 'Security Cabin', 'Swimming Pool', 'Landscaping & Tree Planting', 'Lift(s)', 'Fire Fighting System', '24X7 Water Supply', 'Car Parking', 'Gated Community', 'Indoor Games', 'Solar Water Heating', 'Rain Water Harvesting', '24x7 Security', 'Power Backup', 'Intercom', 'Club House']"
https://housing.com/in/buy/projects/page/251165-bhashyam-land-mark-county-by-bhashyam-developers-in-kothur,Bhashyam Developers,/buy-projects-by-bhashyam-developers-bid-1164870-Al9qfs2cnozpc60qqpwf94msyb,"Near Shamshabad, Beside Bangalore High Way, Kothur, Hyderabad",10,,130.00 sq.yd. - 1000.00 sq.yd.,122 units,16.00 K/sq.yd,,Residential Plots,17.1474,78.288902,,"[""Children's Play Area"", 'Storm Water Drains', 'Vastu Compliant', 'Electrification(Transformer, Solar Energy etc)']"
https://housing.com/in/buy/projects/page/252385-balaji-gardens-by-ms-developers-hyderabad-in-shadnagar,MS Developers Hyderabad,/buy-projects-by-ms-developers-hyderabad-bid-9534846-Aaymvfp53r5ta6s8yu42doew19,"Shadnagar, Hyderabad",10,,147.00 sq.yd. - 208.00 sq.yd.,142 units,7.50 K/sq.yd,"Mar, 2021",Residential Plots,17.074829,78.212547,,"[""Children's Play Area"", 'Meter Room', 'Gated Community', 'Cycling & Jogging Track', 'Vastu Compliant', 'Fire Sprinklers', 'Rain Water Harvesting', '24x7 Security', 'Power Backup']"
https://housing.com/in/buy/projects/page/252587-brigade-citadel-by-brigade-enterprises-ltd-in-moti-nagar,Brigade Enterprises Ltd,/buy-projects-by-brigade-enterprises-ltd-bid-260998-A62nbscb3fi82asojjraltxogy,"Moti Nagar, Hyderabad",12,11 Acres,1174.00 sq.ft. - 1798.00 sq.ft.,,9.77 K/sq.ft,"Dec, 2020, Sep, 2025","2, 3 BHK Apartments",17.45056,78.419334,,"['Amphitheater', 'Cricket Pitch', 'Skating Rink', 'Fountains', 'Fire Sprinklers', 'Table Tennis', 'Medical Store/Pharmacy', '24X7 Water Supply', 'Car Parking', 'Multipurpose Room', 'Senior Citizen Siteout', 'Indoor Games', 'Business Center', 'Party Lawn', 'Intercom', ""Children's Play Area"", 'Salon', 'Steam Room', 'Solid Waste Management And Disposal', 'Reserved Parking', 'Spa/Sauna/Steam', 'Banquet Hall', 'Rain Water Harvesting', '24x7 Security', 'Cafeteria', 'Waiting Lounge', 'Grocery Shop', 'Swimming Pool', 'Vastu Compliant', 'Landscaping & Tree Planting', 'Water Storage', 'Gymnasium', 'Squash Court', 'Jogging Track', 'Yoga/Meditation Area', 'Gated Community', 'Club House', 'Entrance Lobby', 'Security Cabin', 'Lift(s)', 'Badminton Court', 'Aerobics Room', 'Multipurpose Hall', 'Basketball Court', 'Paved Compound', 'Conference Room', 'ATM', 'Power Backup']"
https://housing.com/in/buy/projects/page/252631-bhuvi-nature-ville-ii-by-bhuvi-developers-hyderabad-in-ghatkesar,Bhuvi Developers Hyderabad,/buy-projects-by-bhuvi-developers-hyderabad-bid-9698162-A7pxfmnueedfg8vux0vbnvfs4r,"Ghatkesar, East Hyderabad, Hyderabad",8,,167.00 sq.yd. - 500.00 sq.yd.,,12.49 K/sq.yd,,Residential Plots,17.443676,78.676468,,"[""Children's Play Area"", 'Volleyball Court', 'Tennis Court', 'Visitor Parking', 'Fire Sprinklers', 'Vastu Compliant', 'Landscaping & Tree Planting', 'Badminton Court', '24X7 Water Supply', 'Car Parking', 'Jogging Track', 'Meter Room', 'Basketball Court', 'Gated Community', 'Sports Facility', 'Utility Shops', 'Rain Water Harvesting', '24x7 Security', 'Sewage Treatment Plant', 'Power Backup']"
https://housing.com/in/buy/projects/page/29925-balaji-residency-by-sb-constructions-in-jeedimetla,S.B. Constructions,/buy-projects-by-sb-constructions-bid-358156-A5ogoj8jsqx7j74rojbd5t270u,"Alwal Road, Near Indian Overseas Bank, North Hyderabad, Hyderabad",12,,1160.00 sq.ft. - 1170.00 sq.ft.,1 Building - 10 units,2.60 K/sq.ft,"Jun, 2014",2 BHK Apartment,17.504596,78.486746,,"['Lift(s)', 'Rain Water Harvesting', 'Power Backup']"
https://housing.com/in/buy/projects/page/48717-br-hemadurga-sadan-by-br-constructions-in-miyapur,,,,0,,,,,,,17.516187,78.347918,,[]
https://housing.com/in/buy/projects/page/87481-balaji-arcade-by-swaraj-homes-builders-developer-in-kondapur,,,"Kothaguda, Kondapur, West Hyderabad, Hyderabad",6,,,,,,2 BHK Apartment,17.464849,78.365746,,[]
